CAT,Day_of_month,Month_of_year,Day_Segment,Longitude,Latitude,Year,Count
IMPAIRED,1,12,1,-122.433,37.752,1,1
IMPAIRED,1,12,1,-122.392,37.764,1,1
IMPAIRED,1,12,1,-122.392,37.775,1,1
IMPAIRED,1,12,2,-122.458,37.763,1,1
IMPAIRED,1,12,2,-122.418,37.783,1,1
IMPAIRED,1,12,2,-122.41,37.779,1,1
IMPAIRED,1,12,2,-122.408,37.781,1,1
IMPAIRED,2,1,0,-122.507,37.735,1,1
IMPAIRED,2,1,0,-122.454,37.759,1,1
IMPAIRED,2,1,0,-122.432,37.761,1,1
IMPAIRED,2,1,0,-122.413,37.784,1,1
IMPAIRED,2,1,0,-122.41,37.784,1,1
IMPAIRED,2,1,0,-122.408,37.792,1,1
IMPAIRED,2,1,0,-122.406,37.765,1,1
IMPAIRED,2,1,1,-122.419,37.783,1,1
IMPAIRED,2,1,1,-122.417,37.739,1,1
IMPAIRED,2,1,1,-122.416,37.781,1,1
IMPAIRED,2,1,1,-122.409,37.781,2,2
IMPAIRED,2,1,1,-122.408,37.781,2,2
IMPAIRED,2,1,2,-122.486,37.753,2,2
IMPAIRED,2,1,2,-122.421,37.757,2,2
IMPAIRED,2,1,2,-122.419,37.784,4,4
IMPAIRED,2,1,2,-122.413,37.784,2,2
IMPAIRED,2,1,2,-122.409,37.785,1,1
IMPAIRED,2,1,2,-122.407,37.74,1,1
IMPAIRED,2,1,2,-122.405,37.779,1,1
IMPAIRED,2,1,2,-122.4,37.778,2,2
IMPAIRED,2,2,0,-122.466,37.78,1,1
IMPAIRED,2,2,0,-122.415,37.779,1,1
IMPAIRED,2,2,0,-122.414,37.778,1,1
IMPAIRED,2,2,1,-122.454,37.709,1,1
IMPAIRED,2,2,1,-122.419,37.785,1,1
IMPAIRED,2,2,1,-122.418,37.77,1,1
IMPAIRED,2,2,1,-122.414,37.78,2,2
IMPAIRED,2,2,1,-122.414,37.782,1,1
IMPAIRED,2,2,1,-122.409,37.784,1,1
IMPAIRED,2,2,1,-122.408,37.781,1,1
IMPAIRED,2,2,1,-122.408,37.784,1,1
IMPAIRED,2,2,1,-122.406,37.767,2,2
IMPAIRED,2,2,2,-122.429,37.774,1,1
IMPAIRED,2,2,2,-122.423,37.772,1,1
IMPAIRED,2,2,2,-122.418,37.786,3,3
IMPAIRED,2,2,2,-122.412,37.783,2,2
IMPAIRED,2,2,2,-122.408,37.781,2,2
IMPAIRED,2,2,2,-122.393,37.731,1,1
IMPAIRED,2,3,0,-122.432,37.732,1,1
IMPAIRED,2,3,0,-122.421,37.768,2,2
IMPAIRED,2,3,0,-122.416,37.762,1,1
IMPAIRED,2,3,0,-122.41,37.784,1,1
IMPAIRED,2,3,0,-122.409,37.799,1,1
IMPAIRED,2,3,1,-122.416,37.782,1,1
IMPAIRED,2,3,1,-122.403,37.78,1,1
IMPAIRED,2,3,2,-122.419,37.76,1,1
IMPAIRED,2,3,2,-122.411,37.753,1,1
IMPAIRED,2,3,2,-122.405,37.771,3,3
IMPAIRED,2,4,0,-122.42,37.77,1,1
IMPAIRED,2,4,0,-122.416,37.782,1,1
IMPAIRED,2,4,0,-122.414,37.78,1,1
IMPAIRED,2,4,0,-122.399,37.785,1,1
IMPAIRED,2,4,0,-122.397,37.779,1,1
IMPAIRED,2,4,1,-122.424,37.74,1,1
IMPAIRED,2,4,1,-122.421,37.765,2,2
IMPAIRED,2,4,1,-122.42,37.765,1,1
IMPAIRED,2,4,1,-122.409,37.78,1,1
IMPAIRED,2,4,1,-122.408,37.781,1,1
IMPAIRED,2,4,1,-122.399,37.741,2,2
IMPAIRED,2,4,1,-122.392,37.745,4,4
IMPAIRED,2,4,2,-122.449,37.77,1,1
IMPAIRED,2,4,2,-122.446,37.715,2,2
IMPAIRED,2,4,2,-122.427,37.719,1,1
IMPAIRED,2,4,2,-122.402,37.76,1,1
IMPAIRED,2,4,2,-122.392,37.727,1,1
IMPAIRED,2,5,0,-122.468,37.739,1,1
IMPAIRED,2,5,0,-122.446,37.78,1,1
IMPAIRED,2,5,0,-122.44,37.761,1,1
IMPAIRED,2,5,0,-122.414,37.782,1,1
IMPAIRED,2,5,0,-122.409,37.781,2,2
IMPAIRED,2,5,1,-122.471,37.773,2,2
IMPAIRED,2,5,1,-122.414,37.782,2,2
IMPAIRED,2,5,1,-122.409,37.781,2,2
IMPAIRED,2,5,1,-122.407,37.785,2,2
IMPAIRED,2,5,2,-122.456,37.775,1,1
IMPAIRED,2,5,2,-122.419,37.783,1,1
IMPAIRED,2,5,2,-122.416,37.759,1,1
IMPAIRED,2,5,2,-122.411,37.781,1,1
IMPAIRED,2,6,0,-122.42,37.783,2,2
IMPAIRED,2,6,1,-122.457,37.784,1,1
IMPAIRED,2,6,1,-122.416,37.786,2,2
IMPAIRED,2,6,1,-122.398,37.755,1,1
IMPAIRED,2,6,2,-122.506,37.753,1,1
IMPAIRED,2,6,2,-122.479,37.726,1,1
IMPAIRED,2,7,0,-122.425,37.788,2,2
IMPAIRED,2,7,0,-122.417,37.736,1,1
IMPAIRED,2,7,2,-122.446,37.761,1,1
IMPAIRED,2,7,2,-122.408,37.777,1,1
IMPAIRED,2,8,0,-122.407,37.756,1,1
IMPAIRED,2,8,0,-122.401,37.785,1,1
IMPAIRED,2,8,1,-122.417,37.748,1,1
IMPAIRED,2,8,1,-122.412,37.749,2,2
IMPAIRED,2,8,1,-122.409,37.788,1,1
IMPAIRED,2,8,1,-122.404,37.781,2,2
IMPAIRED,2,8,2,-122.49,37.734,1,1
IMPAIRED,2,8,2,-122.434,37.773,1,1
IMPAIRED,2,8,2,-122.408,37.787,1,1
IMPAIRED,2,8,2,-122.406,37.783,2,2
IMPAIRED,2,9,0,-122.478,37.764,1,1
IMPAIRED,2,9,0,-122.435,37.77,1,1
IMPAIRED,2,9,0,-122.418,37.786,3,3
IMPAIRED,2,9,0,-122.416,37.782,2,2
IMPAIRED,2,9,0,-122.411,37.735,1,1
IMPAIRED,2,9,1,-122.426,37.759,1,1
IMPAIRED,2,9,1,-122.397,37.777,1,1
IMPAIRED,2,9,2,-122.51,37.767,2,2
IMPAIRED,2,9,2,-122.451,37.77,2,2
IMPAIRED,2,10,0,-122.408,37.777,2,2
IMPAIRED,2,10,1,-122.409,37.781,1,1
IMPAIRED,2,10,1,-122.406,37.732,1,1
IMPAIRED,2,10,2,-122.422,37.768,1,1
IMPAIRED,2,10,2,-122.414,37.753,1,1
IMPAIRED,2,11,2,-122.421,37.783,2,2
IMPAIRED,2,11,2,-122.417,37.78,3,3
IMPAIRED,2,11,2,-122.409,37.774,2,2
IMPAIRED,2,12,0,-122.457,37.781,1,1
IMPAIRED,2,12,1,-122.421,37.749,1,1
IMPAIRED,2,12,1,-122.413,37.78,1,1
IMPAIRED,2,12,2,-122.447,37.757,1,1
IMPAIRED,3,1,0,-122.424,37.767,1,1
IMPAIRED,3,1,0,-122.423,37.723,2,2
IMPAIRED,3,1,0,-122.421,37.795,1,1
IMPAIRED,3,1,0,-122.418,37.785,3,3
IMPAIRED,3,1,0,-122.418,37.788,1,1
IMPAIRED,3,1,0,-122.416,37.749,1,1
IMPAIRED,3,1,0,-122.416,37.782,2,2
IMPAIRED,3,1,0,-122.416,37.783,1,1
IMPAIRED,3,1,0,-122.414,37.78,3,3
IMPAIRED,3,1,0,-122.413,37.775,2,2
IMPAIRED,3,1,0,-122.406,37.786,1,1
IMPAIRED,3,1,1,-122.42,37.792,1,1
IMPAIRED,3,1,1,-122.414,37.776,1,1
IMPAIRED,3,1,1,-122.414,37.778,3,3
IMPAIRED,3,1,1,-122.412,37.781,1,1
IMPAIRED,3,1,1,-122.411,37.782,1,1
IMPAIRED,3,1,2,-122.479,37.777,1,1
IMPAIRED,3,1,2,-122.478,37.754,2,2
IMPAIRED,3,1,2,-122.448,37.784,1,1
IMPAIRED,3,1,2,-122.434,37.726,2,2
IMPAIRED,3,1,2,-122.418,37.786,1,1
IMPAIRED,3,1,2,-122.417,37.781,4,4
IMPAIRED,3,1,2,-122.417,37.791,2,2
IMPAIRED,3,1,2,-122.409,37.781,1,1
IMPAIRED,3,1,2,-122.397,37.743,1,1
IMPAIRED,3,2,0,-122.449,37.77,1,1
IMPAIRED,3,2,0,-122.414,37.78,3,3
IMPAIRED,3,2,1,-122.446,37.77,4,4
IMPAIRED,3,2,1,-122.431,37.763,2,2
IMPAIRED,3,2,1,-122.404,37.781,1,1
IMPAIRED,3,2,2,-122.427,37.766,1,1
IMPAIRED,3,2,2,-122.418,37.77,1,1
IMPAIRED,3,2,2,-122.407,37.756,3,3
IMPAIRED,3,3,0,-122.484,37.756,1,1
IMPAIRED,3,3,0,-122.425,37.765,1,1
IMPAIRED,3,3,0,-122.422,37.743,1,1
IMPAIRED,3,3,0,-122.42,37.781,1,1
IMPAIRED,3,3,0,-122.415,37.771,1,1
IMPAIRED,3,3,0,-122.415,37.779,1,1
IMPAIRED,3,3,0,-122.412,37.749,1,1
IMPAIRED,3,3,0,-122.411,37.778,2,2
IMPAIRED,3,3,0,-122.408,37.78,1,1
IMPAIRED,3,3,1,-122.474,37.743,1,1
IMPAIRED,3,3,1,-122.422,37.768,2,2
IMPAIRED,3,3,1,-122.416,37.779,3,3
IMPAIRED,3,3,1,-122.41,37.779,2,2
IMPAIRED,3,3,1,-122.407,37.777,1,1
IMPAIRED,3,3,1,-122.404,37.782,1,1
IMPAIRED,3,3,2,-122.455,37.724,1,1
IMPAIRED,3,3,2,-122.418,37.785,1,1
IMPAIRED,3,4,0,-122.419,37.786,1,1
IMPAIRED,3,4,0,-122.417,37.784,1,1
IMPAIRED,3,4,0,-122.416,37.783,2,2
IMPAIRED,3,4,0,-122.415,37.779,1,1
IMPAIRED,3,4,0,-122.414,37.783,1,1
IMPAIRED,3,4,0,-122.414,37.784,1,1
IMPAIRED,3,4,1,-122.504,37.742,3,3
IMPAIRED,3,4,1,-122.454,37.769,2,2
IMPAIRED,3,4,1,-122.447,37.711,1,1
IMPAIRED,3,4,1,-122.419,37.785,1,1
IMPAIRED,3,4,1,-122.414,37.785,3,3
IMPAIRED,3,4,1,-122.412,37.776,2,2
IMPAIRED,3,4,1,-122.408,37.787,1,1
IMPAIRED,3,4,1,-122.404,37.757,1,1
IMPAIRED,3,4,1,-122.395,37.777,1,1
IMPAIRED,3,4,2,-122.495,37.778,2,2
IMPAIRED,3,4,2,-122.452,37.77,1,1
IMPAIRED,3,4,2,-122.422,37.763,1,1
IMPAIRED,3,4,2,-122.42,37.787,4,4
IMPAIRED,3,4,2,-122.416,37.783,3,3
IMPAIRED,3,4,2,-122.402,37.789,1,1
IMPAIRED,3,5,0,-122.418,37.765,1,1
IMPAIRED,3,5,0,-122.396,37.787,2,2
IMPAIRED,3,5,1,-122.458,37.763,1,1
IMPAIRED,3,5,1,-122.421,37.787,1,1
IMPAIRED,3,5,1,-122.408,37.78,1,1
IMPAIRED,3,5,1,-122.407,37.756,1,1
IMPAIRED,3,5,1,-122.407,37.779,2,2
IMPAIRED,3,5,2,-122.424,37.749,2,2
IMPAIRED,3,5,2,-122.417,37.779,1,1
IMPAIRED,3,6,0,-122.458,37.764,1,1
IMPAIRED,3,6,1,-122.418,37.752,1,1
IMPAIRED,3,6,1,-122.418,37.783,1,1
IMPAIRED,3,6,2,-122.481,37.744,1,1
IMPAIRED,3,6,2,-122.443,37.778,1,1
IMPAIRED,3,6,2,-122.412,37.776,1,1
IMPAIRED,3,6,2,-122.41,37.766,1,1
IMPAIRED,3,7,0,-122.414,37.754,1,1
IMPAIRED,3,7,0,-122.414,37.78,1,1
IMPAIRED,3,7,0,-122.409,37.792,4,4
IMPAIRED,3,7,0,-122.393,37.767,2,2
IMPAIRED,3,7,1,-122.464,37.73,1,1
IMPAIRED,3,7,2,-122.435,37.759,1,1
IMPAIRED,3,7,2,-122.416,37.782,3,3
IMPAIRED,3,8,0,-122.416,37.782,1,1
IMPAIRED,3,8,0,-122.415,37.779,3,3
IMPAIRED,3,8,0,-122.414,37.78,1,1
IMPAIRED,3,8,1,-122.419,37.757,1,1
IMPAIRED,3,8,1,-122.416,37.782,3,3
IMPAIRED,3,8,1,-122.411,37.785,1,1
IMPAIRED,3,8,1,-122.407,37.756,1,1
IMPAIRED,3,8,2,-122.451,37.77,1,1
IMPAIRED,3,8,2,-122.423,37.798,1,1
IMPAIRED,3,8,2,-122.412,37.781,1,1
IMPAIRED,3,9,1,-122.413,37.749,1,1
IMPAIRED,3,9,2,-122.41,37.773,1,1
IMPAIRED,3,9,2,-122.407,37.756,1,1
IMPAIRED,3,10,0,-122.453,37.786,3,3
IMPAIRED,3,10,0,-122.448,37.77,1,1
IMPAIRED,3,10,0,-122.446,37.71,1,1
IMPAIRED,3,10,0,-122.412,37.767,1,1
IMPAIRED,3,10,0,-122.412,37.782,1,1
IMPAIRED,3,10,0,-122.408,37.784,1,1
IMPAIRED,3,10,1,-122.415,37.782,1,1
IMPAIRED,3,10,1,-122.407,37.781,1,1
IMPAIRED,3,10,2,-122.51,37.772,2,2
IMPAIRED,3,10,2,-122.477,37.763,2,2
IMPAIRED,3,10,2,-122.408,37.777,1,1
IMPAIRED,3,11,0,-122.41,37.782,2,2
IMPAIRED,3,11,1,-122.497,37.772,1,1
IMPAIRED,3,11,1,-122.41,37.784,2,2
IMPAIRED,3,11,1,-122.407,37.756,1,1
IMPAIRED,3,11,2,-122.412,37.782,1,1
IMPAIRED,3,11,2,-122.402,37.798,1,1
IMPAIRED,3,12,1,-122.457,37.71,2,2
IMPAIRED,3,12,1,-122.404,37.727,1,1
IMPAIRED,3,12,2,-122.431,37.798,1,1
IMPAIRED,3,12,2,-122.415,37.781,2,2
IMPAIRED,3,12,2,-122.404,37.79,1,1
IMPAIRED,4,1,0,-122.466,37.786,1,1
IMPAIRED,4,1,0,-122.428,37.786,1,1
IMPAIRED,4,1,0,-122.427,37.794,1,1
IMPAIRED,4,1,0,-122.421,37.783,2,2
IMPAIRED,4,1,0,-122.42,37.766,1,1
IMPAIRED,4,1,0,-122.416,37.782,2,2
IMPAIRED,4,1,0,-122.415,37.781,3,3
IMPAIRED,4,1,0,-122.413,37.76,1,1
IMPAIRED,4,1,0,-122.411,37.766,1,1
IMPAIRED,4,1,0,-122.41,37.784,2,2
IMPAIRED,4,1,0,-122.409,37.782,2,2
IMPAIRED,4,1,0,-122.405,37.786,1,1
IMPAIRED,4,1,1,-122.453,37.769,1,1
IMPAIRED,4,1,1,-122.451,37.77,1,1
IMPAIRED,4,1,1,-122.436,37.762,1,1
IMPAIRED,4,1,1,-122.42,37.783,1,1
IMPAIRED,4,1,1,-122.417,37.774,1,1
IMPAIRED,4,1,1,-122.416,37.765,2,2
IMPAIRED,4,1,1,-122.408,37.711,1,1
IMPAIRED,4,1,1,-122.408,37.781,3,3
IMPAIRED,4,1,1,-122.403,37.785,2,2
IMPAIRED,4,1,1,-122.401,37.782,1,1
IMPAIRED,4,1,2,-122.445,37.712,2,2
IMPAIRED,4,1,2,-122.434,37.763,1,1
IMPAIRED,4,1,2,-122.42,37.764,1,1
IMPAIRED,4,1,2,-122.419,37.784,1,1
IMPAIRED,4,1,2,-122.419,37.787,7,7
IMPAIRED,4,1,2,-122.417,37.757,1,1
IMPAIRED,4,2,0,-122.446,37.771,3,3
IMPAIRED,4,2,0,-122.421,37.767,2,2
IMPAIRED,4,2,0,-122.415,37.77,1,1
IMPAIRED,4,2,0,-122.407,37.781,1,1
IMPAIRED,4,2,0,-122.399,37.774,1,1
IMPAIRED,4,2,0,-122.391,37.781,1,1
IMPAIRED,4,2,1,-122.444,37.724,1,1
IMPAIRED,4,2,1,-122.42,37.767,1,1
IMPAIRED,4,2,1,-122.416,37.782,1,1
IMPAIRED,4,2,1,-122.405,37.767,1,1
